l1_identifier,l1_label,l2_identifier,l2_label,l2_example,l3_identifier,l3_label,l3_definition,l3_example,l4_identifier,l4_label,l4_definition,l4_example,l5_identifier,l5_label,l5_definition,l5_example
V,Segnaletica verticale,V.1,Segnale di pericolo,,V.1.2,Segnale temporaneo,,,V.1.2.II.383.31,Lavori,"Presegnala cantieri di lavori in corso, depositi temporanei di materiale, presenza di macchinari adibiti ai lavori stradali. Può essere corredato di cartello che indica la lunghezza del cantiere. Di notte integrato di lanterna a luce fissa.",https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_lavori.svg,,,,
V,Segnaletica verticale,V.1,Segnale di pericolo,,V.1.2,Segnale temporaneo,,,V.1.2.II.389.31,Strada dissestata,Su fondo giallo presegnala un tratto di strada in cattivo stato o con pavimentazione irregolare in presenza di un cantiere stradale.,https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_strada_dissestata_-_provvisorio.svg,,,,
V,Segnaletica verticale,V.1,Segnale di pericolo,,V.1.2,Segnale temporaneo,,,V.1.2.II.384.31,Strettoia simmetrica,Segnala un restringimento pericoloso della carreggiata su entrambi i lati a causa di un cantiere stradale.,https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_strettoia_simmetrica_-_provvisorio.svg,,,,
V,Segnaletica verticale,V.1,Segnale di pericolo,,V.1.2,Segnale temporaneo,,,V.1.2.II.386.31,Strettoia asimmetrica a destra,Segnala un restringimento pericoloso della carreggiata posto sul lato destro a causa di un cantiere stradale.,https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_strettoia_asimmetrica_a_destra_-_provvisorio.svg,,,,
V,Segnaletica verticale,V.1,Segnale di pericolo,,V.1.2,Segnale temporaneo,,,V.1.2.II.385.31,Strettoia asimmetrica a sinistra,Segnala un restringimento pericoloso della carreggiata posto sul lato sinistro a causa di un cantiere stradale.,https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_strettoia_asimmetrica_a_sinistra_-_provvisorio.svg,,,,
V,Segnaletica verticale,V.1,Segnale di pericolo,,V.1.2,Segnale temporaneo,,,V.1.2.II.390.31,Materiale instabile su strada,"Presegnala la presenza di pietrisco, di materiale minuto o granaglia di un cantiere stradale che può essere proiettato a distanza o scagliato in aria dai veicoli in transito.",https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_materiale_instabile_-_provvisorio.svg,,,,
V,Segnaletica verticale,V.1,Segnale di pericolo,,V.1.2,Segnale temporaneo,,,V.1.2.II.387.31,Doppio senso di circolazione,"Segnala un tratto di strada con doppio senso di circolazione sulla stessa carreggiata, quando il tratto precedente era a senso unico a causa di un cantiere stradale.",https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_doppio_senso_-_provvisorio.svg,,,,
V,Segnaletica verticale,V.1,Segnale di pericolo,,V.1.2,Segnale temporaneo,,,V.1.2.II.404.42,Semaforo con dischi in verticale,Presegnala un impianto semaforico posto su strade sia urbane che extraurbane con dischi disposti in verticale a causa di un cantiere stradale.,https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_semaforo_verticale_-_provvisorio.svg,,,,
V,Segnaletica verticale,V.1,Segnale di pericolo,,V.1.2,Segnale temporaneo,,,V.1.2.405,Altri pericoli,"Segnala un pericolo diverso da quelli indicati negli altri segnali di pericolo a causa di un cantiere stradale. È obbligatorio un pannello integrativo recante un simbolo o un'iscrizione che precisi la natura del pericolo, ad esempio: incidente (Fig. II 6/b Art. 83); segnaletica in rifacimento (Fig. II 6/a Art. 83); mezzi di lavoro in azione (Fig. II 6/g Art.83); sgombraneve in azione (Fig. II 6/d Art. 83); corsie a larghezza ridotta (Fig. II 391/c Art. 31); uscita obbligatoria (Fig. II 391/b Art. 31).",https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_altri_pericoli_-_provvisorio.svg,,,,
V,Segnaletica verticale,V.1,Segnale di pericolo,,V.1.3,Pannello distanziometrico,,,V.1.3.II.11a.87,Pannello a tre strisce rosse,"Posto sotto al segnale indicante un passaggio a livello con o senza barriere e relativa distanza (da codice 150 m, salvo diversa indicazione).",https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_pannello_distanziometrico_150.svg,,,,
V,Segnaletica verticale,V.1,Segnale di pericolo,,V.1.3,Pannello distanziometrico,,,V.1.3.II.11b.87,Pannello a due strisce rosse,"Posto a 2/3 della distanza (da codice 100 m, salvo diversa indicazione).",https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_pannello_distanziometrico_100.svg,,,,
V,Segnaletica verticale,V.1,Segnale di pericolo,,V.1.3,Pannello distanziometrico,,,V.1.3.II.11c.87,Pannello a una striscia rossa,"Posto ad 1/3 della distanza (da codice 50 m, salvo diversa indicazione).",https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_pannello_distanziometrico_50.svg,,,,
V,Segnaletica verticale,V.2,Segnale di prescrizione,,V.2.1,Segnali di precedenza,,,V.2.1.1,Dare precedenza,Prescrive di dare precedenza a non meno di dieci metri dall'incrocio sulle strade urbane e a 25 metri su quelle extraurbane. Dal 1992 sostituisce l'omonimo segnale di pericolo.,https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_dare_precedenza.svg,,,,
V,Segnaletica verticale,V.2,Segnale di prescrizione,,V.2.1,Segnali di precedenza,,,V.2.1.2,Fermarsi e dare precedenza,Prescrive l'obbligo di arrestarsi in ogni caso in corrispondenza della striscia trasversale di arresto ad un incrocio e di dare precedenza. Dal 1992 sostituisce il segnale d'obbligo arresto all'incrocio.,https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_fermarsi_e_dare_precedenza_-_stop.svg,,,,
V,Segnaletica verticale,V.2,Segnale di prescrizione,,V.2.1,Segnali di precedenza,,,V.2.1.3,Preavviso di dare precedenza,Presegnala di dare precedenza a non meno di dieci metri dall'incrocio sulle strade urbane ed a 25 metri su quelle extraurbane. Dal 1992 sostituisce l'omonimo segnale di pericolo.,https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_distanza.svg,,,,
V,Segnaletica verticale,V.2,Segnale di prescrizione,,V.2.1,Segnali di precedenza,,,V.2.1.4,Preavviso di fermarsi e dare precedenza,Presegnala l'obbligo di arrestarsi in ogni caso in corrispondenza della striscia trasversale di arresto ad un incrocio e di dare precedenza.,https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_preavviso.svg,,,,
V,Segnaletica verticale,V.2,Segnale di prescrizione,,V.2.1,Segnali di precedenza,,,V.2.1.5,Intersezione con precedenza a destra,Presegnala un incrocio in cui vige la regola generale di dare la precedenza a destra. Non è impiegato su strade che godono del diritto di precedenza. Dal 1992 sostituisce il segnale di pericolo incrocio.,https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_intersezione_con_precedenza_a_destra.svg,,,,
V,Segnaletica verticale,V.2,Segnale di prescrizione,,V.2.1,Segnali di precedenza,,,V.2.1.6,Dare precedenza nei sensi unici alternati,Si incontra in una strada a doppio senso prima di una strettoia che consenta il passaggio di una sola fila di veicoli e prescrive di dare precedenza ai veicoli provenienti in direzione opposta.,https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_dare_precedenza_nei_sensi_unici_alternati.svg,,,,
V,Segnaletica verticale,V.2,Segnale di prescrizione,,V.2.1,Segnali di precedenza,,,V.2.1.7,Diritto di precedenza,Indica l'inizio di una strada il cui traffico ha diritto di precedenza. Può essere riprodotto in formato più piccolo dopo ogni incrocio.,https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_diritto_di_precedenza.svg,,,,
V,Segnaletica verticale,V.2,Segnale di prescrizione,,V.2.1,Segnali di precedenza,,,V.2.1.8,Fine del diritto di precedenza,"Indica la fine di una strada il cui traffico ha diritto di precedenza, con il conseguente ritorno alla norma generale sulla precedenza a destra.",https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_fine_del_diritto_di_precedenza.svg,,,,
V,Segnaletica verticale,V.2,Segnale di prescrizione,,V.2.1,Segnali di precedenza,,,V.2.1.9,Intersezione con diritto di precedenza,Presegnala un incrocio con una strada di minore importanza in cui si ha la precedenza sui veicoli provenienti sia da destra che da sinistra. Può essere integrato con un pannello che mostra l'andatura della strada principale. Dal 1992 sostituisce il segnale di pericolo incrocio con una strada senza diritto di precedenza.,https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_intersezione_con_diritto_di_precedenza.svg,,,,
V,Segnaletica verticale,V.2,Segnale di prescrizione,,V.2.1,Segnali di precedenza,,,V.2.1.10,Intersezione a T con immissione da destra con diritto di precedenza,Presegnala un incrocio a T con una strada di minore importanza che non ha diritto di precedenza e che si immette da destra.,https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_intersezione_a_T_con_diritto_di_precedenza_dx.svg,,,,
V,Segnaletica verticale,V.2,Segnale di prescrizione,,V.2.1,Segnali di precedenza,,,V.2.1.11,Intersezione a T con immissione da sinistra con diritto di precedenza,Presegnala un incrocio a T con una strada di minore importanza che non ha diritto di precedenza e che si immette da sinistra.,https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_intersezione_a_T_con_diritto_di_precedenza_sx.svg,,,,
V,Segnaletica verticale,V.2,Segnale di prescrizione,,V.2.1,Segnali di precedenza,,,V.2.1.12,Confluenza a destra,Presegnala un incrocio con corsia di accelerazione od una confluenza sul lato destro della carreggiata. Dal 1992 sostituisce l'omonimo segnale di pericolo.,https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_confluenza_dx.svg,,,,
V,Segnaletica verticale,V.2,Segnale di prescrizione,,V.2.1,Segnali di precedenza,,,V.2.1.13,Confluenza a sinistra,Presegnala un incrocio con corsia di accelerazione od una confluenza sul lato sinistro della carreggiata. Dal 1992 sostituisce l'omonimo segnale di pericolo.,https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_confluenza_sx.svg,,,,
V,Segnaletica verticale,V.2,Segnale di prescrizione,,V.2.1,Segnali di precedenza,,,V.2.1.14,Diritto di precedenza nei sensi unici alternati,Si incontra in una strada a doppio senso prima di una strettoia che consenta il passaggio di una sola fila di veicoli ed indica che i veicoli che procedono in senso opposto devono dare precedenza.,https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_diritto_di_precedenza_nei_sensi_unici_alternati.svg,,,,
V,Segnaletica verticale,V.2,Segnale di prescrizione,,V.2.1,Segnali di precedenza,,,V.2.1.15,Obbligo di arresto all'incrocio con autobus di linea su strade di montagna,Obbliga a dare precedenza alle corriere di linea sulle strade di montagna. Dal 1992 non più contemplato dal Codice della strada.,https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_old_-_dare_precedenza_alle_corriere.svg,,,,
V,Segnaletica verticale,V.2,Segnale di prescrizione,,V.2.2,Segnale di divieto,,,V.2.2.1,Segnale di divieto generico,,,V.2.2.1.1,Divieto di transito,Vieta a tutti i veicoli di entrare in una strada. Posto su entrambi gli accessi e può essere integrato da un pannello che ne limita la validità nel tempo.,https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_divieto_di_transito.svg
V,Segnaletica verticale,V.2,Segnale di prescrizione,,V.2.2,Segnale di divieto,,,V.2.2.1,Segnale di divieto generico,,,V.2.2.1.2,Senso vietato,"Vieta di entrare in una strada, accessibile invece in un altro senso. Viene quindi posto sulle strade a senso unico.",https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_senso_vietato.svg
V,Segnaletica verticale,V.2,Segnale di prescrizione,,V.2.2,Segnale di divieto,,,V.2.2.1,Segnale di divieto generico,,,V.2.2.1.3,Alt,"Variante del segnale ""senso vietato"" che, seppur non prevista dal Codice della Strada, viene utilizzata nelle carreggiate ad almeno due corsie per senso di marcia e alle volte viene integrata da segnalatori acustici o luminosi, per rafforzarne l'efficacia nella prevenzione della guida contromano.[8][9][10] Nelle località che beneficiano di un regime di bilinguismo, alla scritta ""ALT"" può essere abbinata la relativa traduzione.[8]",https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_senso_vietato_(v.1).svg
V,Segnaletica verticale,V.2,Segnale di prescrizione,,V.2.2,Segnale di divieto,,,V.2.2.1,Segnale di divieto generico,,,V.2.2.1.4,Divieto di sorpasso,"Vale per tutti i veicoli, vieta di sorpassare i veicoli a motore con tre o più ruote.",https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_divieto_di_sorpasso.svg
V,Segnaletica verticale,V.2,Segnale di prescrizione,,V.2.2,Segnale di divieto,,,V.2.2.1,Segnale di divieto generico,,,V.2.2.1.5,Distanziamento minimo obbligatorio,"Vieta di seguire il veicolo che precede ad una distanza inferiore a quella indicata, in metri, sul segnale (nell'esempio 70 m), anche quando si viaggia a bassa velocità.",https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_distanziamento_minimo_obbligatorio.svg
V,Segnaletica verticale,V.2,Segnale di prescrizione,,V.2.2,Segnale di divieto,,,V.2.2.1,Segnale di divieto generico,,,V.2.2.1.6,Limite massimo di velocità,Indica la velocità massima in chilometri orari alla quale i veicoli possono procedere immediatamente dopo il segnale. Dal 1992 sostituiscono i segnali con il vecchio carattere:,https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_limite_di_velocit%C3%A0_50.svg
V,Segnaletica verticale,V.2,Segnale di prescrizione,,V.2.2,Segnale di divieto,,,V.2.2.1,Segnale di divieto generico,,,V.2.2.1.7,Divieto di segnalazioni acustiche,Vieta l'uso di avvisatori acustici salvo in caso di pericolo immediato o in caso di trasporto di feriti o ammalati gravi.,https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_divieto_di_segnalazioni_acustiche.svg
V,Segnaletica verticale,V.2,Segnale di prescrizione,,V.2.2,Segnale di divieto,,,V.2.2.1,Segnale di divieto generico,,,V.2.2.1.8,Divieto di inversione,Vieta l'inversione di marcia. Non più previsto dal codice della strada del 1992.,https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_old_-_divieto_di_inversione.svg
